0	0
1	490
2	521
3	532
4	543
5	554
6	565
7	577
8	589
9	601
10	613
11	626
12	639
13	652
14	665
15	679
16	693
17	707
18	721
19	736
20	751
21	766
22	782
23	798
24	815
25	831
26	848
27	866
28	883
29	902
30	920
31	939
32	958
33	978
34	998
35	1018
36	1034
37	1047
38	1061
39	1075
40	1090
41	1104
42	1119
43	1134
44	1149
45	1164
46	1180
47	1195
48	1211
49	1228
50	1244
51	1260
52	1277
53	1294
54	1312
55	1329
56	1347
57	1365
58	1383
59	1401
60	1420
61	1439
62	1458
63	1477
64	1497
65	1517
66	1537
67	1558
68	1578
69	1599
70	1621
71	1642
72	1664
73	1686
74	1709
75	1731
76	1754
77	1778
78	1802
79	1826
80	1850
81	1875
82	1900
83	1925
84	1950
85	1976
86	2003
87	2029
88	2099
89	2266
90	2446
91	2641
92	2849
93	3075
94	3320
95	3584
96	3866
97	6042
98	612193
99	803553
99.9	1024326
99.99	3447069
99.999	3447069
