0	0
1	517
2	526
3	535
4	545
5	554
6	564
7	574
8	584
9	594
10	604
11	614
12	625
13	636
14	647
15	658
16	670
17	681
18	693
19	705
20	717
21	730
22	743
23	756
24	769
25	782
26	796
27	809
28	823
29	838
30	852
31	867
32	882
33	898
34	913
35	929
36	945
37	962
38	978
39	995
40	1012
41	1029
42	1043
43	1057
44	1072
45	1086
46	1101
47	1116
48	1131
49	1147
50	1163
51	1179
52	1195
53	1211
54	1228
55	1245
56	1262
57	1279
58	1296
59	1314
60	1332
61	1350
62	1369
63	1388
64	1407
65	1426
66	1445
67	1465
68	1485
69	1506
70	1526
71	1547
72	1568
73	1590
74	1612
75	1634
76	1656
77	1679
78	1702
79	1725
80	1749
81	1773
82	1797
83	1821
84	1846
85	1872
86	1897
87	1923
88	1950
89	1976
90	2003
91	2031
92	2118
93	2306
94	2511
95	2735
96	2977
97	3241
98	3530
99	3844
99.9	7277
99.99	65536
99.999	311334
