0	0
1	1030
2	1041
3	1052
4	1063
5	1074
6	1085
7	1096
8	1108
9	1119
10	1131
11	1143
12	1155
13	1167
14	1179
15	1192
16	1204
17	1217
18	1229
19	1242
20	1255
21	1268
22	1281
23	1295
24	1308
25	1322
26	1336
27	1350
28	1364
29	1378
30	1393
31	1407
32	1422
33	1437
34	1452
35	1467
36	1482
37	1498
38	1513
39	1529
40	1545
41	1561
42	1578
43	1594
44	1611
45	1628
46	1645
47	1662
48	1679
49	1697
50	1714
51	1732
52	1751
53	1769
54	1787
55	1806
56	1825
57	1844
58	1863
59	1883
60	1902
61	1922
62	1942
63	1963
64	1983
65	2004
66	2025
67	2046
68	2095
69	2148
70	2202
71	2258
72	2315
73	2374
74	2434
75	2495
76	2558
77	2623
78	2689
79	2757
80	2827
81	2898
82	2972
83	3047
84	3124
85	3203
86	3284
87	3367
88	3452
89	3539
90	3628
91	3720
92	3814
93	3910
94	4009
95	4221
96	5196
97	6397
98	7873
99	11768
99.9	25461
99.99	32684
99.999	262144
